;Descrição;Preço;TotalReviews;Loja;Categoria;Tipo
631;Nativo cheio HD 1080p Projetor, Projetor WiFi 4K suportado, interface de entrada AV/VGA/HDMI/USB/TF, Compatível com televisão Bastão, HDMI, VGA, USB, Computador portátil, iOS & Android;1575.07;0.0;Amazon;TV;4k
633;TCL Qled tv 65” C715 4k UHD Android TV Dolby Vision;4749.05;2.0;Amazon;TV;4k
658;Smart TV LED 65” Samsung Crystal processor 4K 3HDMI 1USB Wifi Bluetooth;4596.98;0.0;Amazon;TV;4k
660;"Smart TV Philco 50"" PTV50G70SBLSG Ultra HD 4K Tela Infinita Quadcore e App Store";3399.9;68.0;Amazon;TV;4k
676;"Smart TV Toshiba UHD 4K 50"" QUANTUM DOT Alexa Wifi Integrado Bluetooth 3 HDMI 2 USB Toshiba - TB004";3998.9;0.0;Amazon;TV;4k
686;Caixa de TV multimídia do Android, Caixa de versão global. televisão Conjuntos 4K HDR Dolby. TV Stick Android 8.1 Smart Control Media Player;1002.75;0.0;Amazon;TV;4k
687;Caixa de TV multimídia do Android, Para o Android 4K. televisão Caixa amlogic. S905x2 2GB DDR4 USB3.0 SPDIF Ethernet WiFi Prime Video HDR 10. Widevine L1 tvbox.;1002.75;0.0;Amazon;TV;4k
688;Caixa de TV multimídia do Android, 2G / 4GB RAM 16GB / 32GB / 64GB Inteligente televisão Caixa Android 9.0 Dual Wifi 100 0m 4k x3. CUBE 1. 6g x3. Mais 64g set top box (Color : X3 4g+32g);1173.27;0.0;Amazon;TV;4k
694;Smart Tv Samsung 55 Polegadas 4K Crystal UHD USB 55AU8000;5128.88;0.0;Amazon;TV;4k
707;LG TV Smart 4K Uhd 70 Up7750Psb;6116.1;0.0;Amazon;TV;4k
1510;"Samsung Smart Tv 50"" Uhd 4k 50au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";3099.99;94.0;Americanas;TV;4k
1512;Smart TV LED 55” Philco PTV55Q20SNBL Ultra HD 4k HDR Borda Infinita Com Aplicativos E Audio Dolby;2339.99;282.0;Americanas;TV;4k
1513;"Samsung Smart Tv 60"" Crystal Uhd 4k 60au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";3599.99;57.0;Americanas;TV;4k
1514;"Smart TV Philips 50"" UHD 4K 50PUG7625 Wi-Fi HDR10+ Dolby Vision e Dolby Atmos com Bluetooth Bordas Ultrafinas";2499.99;112.0;Americanas;TV;4k
1516;"Samsung Smart Tv 70"" Uhd 4k 70au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";4749.99;29.0;Americanas;TV;4k
1517;"Smart TV Roku 50"" Philco Led UHD 4K PTV50RCG70BL Wi-Fi 4 HDMI 2 USB e Midiacast";2199.99;39.0;Americanas;TV;4k
1519;"Smart TV 50"" LG 50UN7310 UHD 4K Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai";2780.0;569.0;Americanas;TV;4k
1520;Smart TV LED 43” LG 43UP7500 4K UHD Wi-Fi Bluetooth HDR ThinQAI Compatível Com Inteligência Artificial;2589.99;23.0;Americanas;TV;4k
1522;"Samsung Smart Tv 65"" Uhd 4k 65au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";4399.99;14.0;Americanas;TV;4k
1524;"Smart TV LG 65"" 4K UHD 65UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa";4189.99;0.0;Americanas;TV;4k
1528;"Smart TV 50"" LG 50UN731C UHD 4K 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";2689.9;24.0;Americanas;TV;4k
1529;"Smart TV Roku 58"" Philco Led UHD 4K PTV58G70RCBL Wi-Fi 4 HDMI 2 USB e Midiacast";2599.99;20.0;Americanas;TV;4k
1530;"Samsung Smart Tv 50"" Crystal Uhd 4k 50au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";3039.99;27.0;Americanas;TV;4k
1531;"Samsung Smart Tv 55"" Uhd 4k 55au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";3299.99;16.0;Americanas;TV;4k
1532;"Lg Smart Tv Pro 4k Thinq Ai 43"" 43un731c0sc";2083.11;9.0;Americanas;TV;4k
1535;"Smart Google Tv Philco 50"" Led Borderless 4k, Fast Smart, Áudio Dolby, Com Chromecast Built In - Ptv50g71agbls 4k";2599.99;102.0;Americanas;TV;4k
1537;"Samsung Smart Tv 43"" Uhd 4k 43au7700, Processador Crystal 4k, Tela Sem Limites, Alexa Built In, Controle Único";2920.03;99.0;Americanas;TV;4k
1538;Smart TV LED 55” LG 55UP7550 4K UHD 55UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa;3068.01;10.0;Americanas;TV;4k
1539;Smart TV LED 75” LG 75UP8050 4K UHD Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa;5699.99;1.0;Americanas;TV;4k
1540;"Smart TV 55"" LG 55UN731C 4K UHD 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth";2724.07;6.0;Americanas;TV;4k
1541;"Samsung Smart Tv 65"" Crystal Uhd 4k 65au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites";4699.99;0.0;Americanas;TV;4k
1542;Smart TV Led 55” Tcl P715 4K Android UHD HDR com Wi-Fi e Bluetooth Integrados, Comando de voz à distância, Google Assistant;2799.99;25.0;Americanas;TV;4k
1543;Smart TV LED 50” TCL P615 4K UHD HDR Android com Wi-Fi e Bluetooth Integrados;2499.99;4.0;Americanas;TV;4k
1544;"Smart TV LG 50"" 4K NanoCell 50NANO75 3x HDMI 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa";3099.99;14.0;Americanas;TV;4k
1545;"Samsung Smart Tv 55"" Qled 4k 55q70a, Modo Game, Processador Ia, Som Em Movimento Virtual, Tela Sem Limites.";4081.76;0.0;Americanas;TV;4k
1546;"Smart TV Tela QLED 55"" Samsung 55Q80A 4K Wi-Fi Integrado com Processador IA 2 USB 4 HDMI";4150.96;4.0;Americanas;TV;4k
1547;"Smart Tv LG 55"" 55UN7310 4K UHD Wifi Bluetooth HDR 3 HDMI 2 USB Inteligência Artificial Thinq Ai Google Assistente";3799.99;152.0;Americanas;TV;4k
1548;"Samsung Smart Tv 75"" Uhd 4k 75au7700, Processador Crystal 4k, Tela Sem Limites, Visual Livre De Cabos, Alexa Built In.";6299.99;4.0;Americanas;TV;4k
1550;"Smart TV LG 50"" 4K NanoCell 50NANO79SND - WiFi Bluetooth HDR Inteligencia Artificial ThinQAI Google Assistente Alexa IOT";3817.27;0.0;Americanas;TV;4k
1551;"Smart TV Tela QLED 55"" Samsung 55q60a 4K Conversor Digital  Wi-Fi integrado 2 USB 3 HDMI";3779.99;6.0;Americanas;TV;4k
1553;"Samsung Smart Tv 55"" Crystal Uhd 4k 55au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";3324.99;7.0;Americanas;TV;4k
1554;Smart TV OLED 55” LG OLED55C1 4K 120hz G-Sync Freesync 4x HDMI 2.1 Inteligência Artificial ThinQ Google Alexa;5149.61;6.0;Americanas;TV;4k
1556;"Smart TV LED  70"" LG 70UN7310 Ultra HD 4K Conversor Digital WiFi Bluetooth HDMI Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa";4699.99;46.0;Americanas;TV;4k
1557;"Samsung Smart TV 55"" Neo QLED 4K 55QN85A Mini Led Painel 120hz Processador IA Som em Movimento Tela sem Limites";5759.99;4.0;Americanas;TV;4k
1560;"Smart TV 65"" LG 65UN7310 4K UHD 3HDMI 2 USB Wi-Fi Inteligência Artificial Thinq Ai Google Assistente";4299.99;43.0;Americanas;TV;4k
1562;"Samsung Smart Tv 65"" Qled 4k 65q80a, Modo Game, Processador Ia, Som Em Movimento, Tela Sem Limites.";6929.99;0.0;Americanas;TV;4k
1565;"Smart TV LG 50"" 4K UHD 50UP7550 Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa";2616.7;2.0;Americanas;TV;4k
1566;Smart TV Business 4K LH55BEAH 55 hdr Wifi USB hdmi Samsung;2642.73;0.0;Americanas;TV;4k
1571;Smart TV LED 55'' Philips 55PUG6794 4K Ultra HD AMBILIGHT 3 lados HDR10+ Dolby Vision Dolby Atmos Bluetooth Wifi 3 HDMI 2 USB - Prata;2899.99;106.0;Americanas;TV;4k
1572;"Samsung Smart Tv 75"" Crystal Uhd 4k 75au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites.";6630.62;3.0;Americanas;TV;4k
1574;Smart TV LG 55 polegadas 4K UHD 55UP751C webOS ThinQ AI Comando por Voz;2724.07;0.0;Americanas;TV;4k
1575;Smart TV 82'' Samsung Crystal UHD 82TU8000 4K, Wi-fi, Borda Infinita, Alexa built in, Controle Único, Visual Livre de Cabo, Modo Ambiente Foto e Processador Crystal 4K;9809.99;3.0;Americanas;TV;4k
1576;"Smart Tv Lg 55"" 55un7310 4k Uhd Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai Google Assistente + Smart TV LED LG 24"" Monitor Wi-Fi Webos 3.5 DTV Machine Ready";3899.99;0.0;Americanas;TV;4k
1577;Smart TV LED 55” LG 55NANO75 4K NanoCell 3x HDMI 2.0 Inteligência Artificial ThinQAI Smart Magic Google Alexa;4099.99;2.0;Americanas;TV;4k
1578;Smart TV LED 50'' Philips 50PUG6654/78 Ultra HD 4k, Design sem Bordas HDR10+ Dolby Vision Dolby Atmos Bluetooth 3 HDMI 2 USB 60 HZ - Prata;2339.1;278.0;Americanas;TV;4k
1579;Smart TV Led 65” Tcl P715 4K Android UHD HDR com Wi-Fi e Bluetooth Integrados, Comando de voz à distância, Google Assistant;4268.23;13.0;Americanas;TV;4k
1580;"Samsung Smart TV 50"" QLED 4K The Frame 2021 50LS03A, Design Slim, Suporte de parede Slim Incluso, Única Conexão, Molduras customizáveis, Modo Arte";4099.99;1.0;Americanas;TV;4k
1581;Smart TV LED 65” LG 65UP7750 4K UHD Wi-Fi Bluetooth HDR Inteligência Artificial Thinq Smart Magic Google Alexa;4274.99;2.0;Americanas;TV;4k
1582;Smart TV OLED 48” LG OLED48C1 4K 120hz G-sync Freesync 4x HDMI 2.1 Inteligência Artificial ThinQ Google Alexa;5799.99;10.0;Americanas;TV;4k
1583;Smart TV OLED 65'' LG OLED65CX Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQAI Smart Magic Google Assistente Alexa;9299.99;14.0;Americanas;TV;4k
1590;Smart TV LED 55” LG 55NANO85 4K NanoCell 120hz Freesync 2 Hdmi 2.1 Inteligência Artificial ThinQ Google Alexa;5099.99;0.0;Americanas;TV;4k
1596;"Smart TV LED 58"" Philips 58PUG7625/78 UHD 4K, P5, HDR10+, Dolby Vision Atmos, Bluetooth, Wi-Fi, Bordas Ultrafinas";3399.99;3.0;Americanas;TV;4k
1599;"Smart TV Philco 65"" QLED Ultra HD 4K com Wi-Fi 4 HDMI 2 USB e Netflix - PTV65F82SSG";4099.99;4.0;Americanas;TV;4k
1602;"Samsung Smart Tv 65"" Qled 4k 65q60a, Modo Game, Som Em Movimento Virtual, Tela Sem Limites, Design Slim.";6299.99;0.0;Americanas;TV;4k
1604;Smart TV 70'' Philips 70PUG7625/78 4K UHD P5 HDR10+ Dolby Vision Atmos Bluetooth WiFi Preto Bordas Ultrafinas;4699.99;4.0;Americanas;TV;4k
1605;"Samsung Smart TV 65"" Neo QLED 4K 65QN85A Mini Led Painel 120hz Processador IA Som em Movimento Tela sem limites Design slim Alexa built in";9449.99;1.0;Americanas;TV;4k
1607;"Smart TV LED 50"" Samsung 50RU7100 Ultra HD 4K com Conversor Digital 3 HDMI 2 USB Wi-Fi Visual Livre de Cabos Controle Remoto Único e Bluetooth";3690.0;0.0;Americanas;TV;4k
1609;"Smart TV LG 65"" 4K NanoCell 65NANO75 3x HDMI 2.0 Inteligência Artificial Thinqai Smart Magic Google Alexa";5129.99;1.0;Americanas;TV;4k
1610;"Samsung Smart TV 50"" Crystal UHD 50TU7000 4K, Borda Infinita, Bluetooth + SoundBar 2.0 JBL";4999.0;0.0;Americanas;TV;4k
