nome;num_avali;avali;preco
"Notebook Flash F30 Samsung, Intel Celeron N4000, 4GB, 64GB SSD, 13.3"" Full HD LED, Win 10 - Rosa";0;0;2528.90
Notebook Multilaser Legacy 14 Pol. 2gb 32gb W10 Cinza Pc131;13;4.5;3699.00
"Notebook Lenovo Core i5-10210U 8GB 256GB SSD Tela 15.6"" Windows 10 Ideapad 3i 82BS0005BR + Microsoft 365 Personal";1;5.0;6699.00
"Notebook Asus, Intel Celeron Dual Core N4020, 4GB, 128GB, Tela de 15,6"", Blue - E510MA-BR352R";0;0;2999.00
Notebook Samsung Book Intel® Core™ i5, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Full HD LED;54;5.0;2889.41
Notebook Gamer Acer AMD Ryzen 7 8GB 512GB SSD Tela 15.6” Windows 10 Nitro 5 AN515-44-R8HN;10;5.0;5699.00
"Notebook Intel Core I3 4GB RAM 1TB Ultra UB422 Tela 14.1"" Full HD Linux Prata";5;5.0;4699.00
Notebook Dell Vostro 14 3468 Core i3-6006U 2C 2.0GHz, 4GB RAM, 500GB HD, Linux Ubuntu;0;0;9199.00
Notebook Dell Core i7-8565U 8GB 2TB Placa de Vídeo 2GB Tela Full HD 15.6” Linux Inspiron I15-3583-D40B;38;4.5;5578.00
Notebook Dell Core i7-8565U 8GB 2TB Tela 15.6” Linux Inspiron I15-3583-D5XP;138;4.5;3999.00
"MacBook Air de 13"" 256GB SSD e M1 da Apple Prateado";29;5.0;4299.00
Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 1TB 128GB SSD Windows 10 Aspire Nitro 5 AN515-54-528V + Microsoft 365 Personal;26;5.0;1741.90
Notebook Acer Aspire 5 A514-54G-54Y4 Intel Core i5 11ª Gen Windows 10 Home 8GB 256GB SSD 14` Full HD;0;0;1829.90
Notebook Asus Core i5-10210U 8GB 1TB Placa de Vídeo 2GB Tela 15.6” Windows 10 VivoBook X512FB-BR501T;6;5.0;2589.90
"Notebook Intel Atom Quad Core 4GB RAM 64GB eMMC Positivo Motion Q464C 14,1"" Windows 10 Home";1;4.0;38790.00
Notebook Lenovo Chromebook AMD A4 2.4GHz 4GB RAM 32GB SSD Tela 11.6 LED;0;0;1989.00
Notebook Acer Aspire 3 A315-34-C6ZS Celeron N4000 4GB 1TB;10;5.0;3799.00
Notebook 15.6 Oled 4k I9 10980hk 32gb 1tb Ssd Gf 2060;0;0;4078.00
Notebook Positivo Motion Gray C4128E + Microsoft 365 Personal com licença válida por 1 ano;4;3.5;3399.00
"Notebook Lenovo Ultrafino IdeaPad 3i i5-10210U 8GB 256 GB SSD Windows 10 15.6"" 82BS0005BR Prata";1;5.0;3999.00
Notebook Acer Core i5-10210U 8GB 256GB SSD Placa de Vídeo 2GB Tela 15.6” Windows 10 Aspire 5 A515-54G-53XP + Microsoft 365 Personal;1;5.0;1663.90
Notebook Acer Aspire 5 A514-53-39KH Intel Core I3 8GB RAM 256GB SSD 14` Windows 10;13;5.0;5499.00
Notebook Lenovo Core i5-10210U 8GB 256GB SSD Placa de Vídeo 2GB Tela 15.6” Windows 10 Ideapad 3i 82BS0001BR;0;0;3899.00
Notebook Windows 10 Intel Quadcore Memoria 2gb 64gb Vinho;0;0;2599.00
Notebook Gamer Lenovo NVIDIA GeForce GTX 1650 Core i5-10300H 8GB 256GB SSD Tela Full HD 15.6” Linux Ideapad Gaming 3i 82CGS00100;3;5.0;3599.00
Notebook Acer Core i5-1035G1 8GB 256GB SSD Placa de Vídeo 2GB Tela 15.6” Windows 10 Aspire 5 A515-55G-51HJ;67;5.0;2528.00
Notebook Acer ASPIRE 3 A315-34-C6ZS Intel Celeron N4000 4GB RAM 1TB HD 15,6` Endless OS;24;4.5;3178.00
Notebook Asus Core i5-8250U 4GB 256GB SSD Tela Full HD 15.6” Windows 10 X543UA-DM3458T;0;0;7499.00
Notebook Lenovo Dual Core 4GB 128GB SSD Tela 15.6” Windows 10 Ideapad 3i 82BU0001BR + Microsoft 365 Personal;0;0;2899.00
Notebook Samsung Core i3-1115G4 4GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KT2BR + Microsoft 365 Personal com 1TB na Nuvem;0;0;13749.00
"Notebook Ultrafino Dell Inspiron i5502-M40S 15.6"" Full HD 11ª G. Intel Core i7 16GB 512GB SSD NVIDIA GeForce Windows 10";70;5.0;15799.00
"Notebook Asus Core i3-6100U 4GB 256GB SSD Tela 15.6"" Windows 10 X543UA- GQ3157T";52;4.5;5199.00
Notebook Asus Tuf Gamer I7 16gb 256 Ssd 3060 6gb 15,6 Fhd;0;0;3599.00
Notebook Asus Tuf Gamer I7 40gb 1tb Ssd 3060 6gb 15,6 Fhd;0;0;4999.00
Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 512GB SSD Tela Full HD 15.6” Endless OS Aspire Nitro 5 AN515-54-574Q;40;5.0;4599.00
Notebook Acer Core i5-10210U 8GB 256GB SSD Tela Full HD 15.6” Windows 10 Aspire 5 A515-54-55L0;0;0;3299.00
Notebook VAIO Core i7-10510U 8GB 1TB Tela 15.6” Windows 10 FE15 VJFE5211X-B0211H;84;4.5;5299.00
Notebook Samsung Core i7-1165G7 8GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KS3BR;28;5.0;2999.00
"Notebook Dell Inspiron i3501-M20P 15.6"" HD 10ª Geração Intel Core i3 4GB 128GB SSD Windows 10 Preto";22;4.5;2313.00
"Notebook 2 em 1 Dell Inspiron 5406-M20S 14"" Touch 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 McAfee";26;5.0;4999.00
Notebook Lenovo Core i3-10110U 4GB 256GB SSD Tela 15.6” Windows 10 Ideapad 3i 82BS0006BR;0;0;5199.00
Notebook Samsung Tela 11.6 N4000 32GB 4GBRAM Chromebook XE310XBA-KT1BR;2;5.0;4299.00
"Notebook Lenovo IdeaPad Flex 5i i5-1135G7 8GB 256GB SSD W10 14"" FHD WVA Intel Iris® Xe";0;0;4999.00
Notebook Gamer Asus NVIDIA GeForce GTX 1050 AMD Ryzen 5 8GB 1TB Tela Full HD 15.6” Windows 10 M570DD-DM122T;27;4.5;3101.89
Notebook Acer Aspire 5 A514-53G-51BK Intel Core i5 8GB 256GB SSD 14` Windows 10;36;5.0;4378.00
