descricao;preco;avaliacao;quantidade_avaliacoes;URL
Atari Flashback 8 Portátil Tectoy;418.41;4;11;https://www.magazineluiza.com.br/atari-flashback-8-portatil-tectoy-com-70-jogos/p/043076500/ga/gaat/
Console Nintendo Switch Cinza 32GB com 1 Controle Joy Con;2271.92;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-cinza-32gb-com-1-controle-joy-con/p/cfj4hefh70/ga/gans/
Console Xbox Series S 500GB Branco -1 Controle;2526.99;5;0;https://www.magazineluiza.com.br/console-xbox-series-s-500gb-branco-1-controle-microsoft/p/gj424agje5/ga/xbss/
SnowRunner   - Ps4;351.82;5;0;https://www.magazineluiza.com.br/snowrunner-ps4-sony/p/jg262bfeg3/ga/gap4/
Nintendo Switch 32GB Console  Azul/Vermelho;2375.12;5;0;https://www.magazineluiza.com.br/nintendo-switch-32gb-console-azul-vermelho/p/bf3kcackbd/ga/gans/
Video Game Atari Flashback X 110 jogos;632.12;5;0;https://www.magazineluiza.com.br/video-game-atari-flashback-x-110-jogos-tec-toy/p/kg8f747eb2/ga/gaat/
Controle de Mídia PS5 - CFI-ZMR1;179.9;5;0;https://www.magazineluiza.com.br/controle-de-midia-ps5-cfi-zmr1-sony/p/dhkfda87ce/ga/otga/
Master System Evolution Tectoy Com 132 Jogos Na Memória;569.05;5;0;https://www.magazineluiza.com.br/master-system-evolution-tectoy-com-132-jogos-na-memoria/p/aacc3j2akj/ga/masy/
Atari Flashback X;650.91;5;0;https://www.magazineluiza.com.br/atari-flashback-x-tectoy/p/ed879f726b/ga/gaat/
Console Nintendo Switch Vermelho e Azul 32GB com 1 Controle Joy Con;2271.92;5;0;https://www.magazineluiza.com.br/console-nintendo-switch-vermelho-e-azul-32gb-com-1-controle-joy-con/p/dadkbadcg4/ga/gans/
Ps4 Horizon Zero Dawn Complete Edition PS Hits;83.69;5;0;https://www.magazineluiza.com.br/ps4-horizon-zero-dawn-complete-edition-ps-hits/p/jac5jb2816/ga/gps4/
