descricao;preco;avaliacao;quantidade_avaliacoes;URL
Geladeira/Refrigerador Samsung Frost Free Inverter;3699.0;4;27;https://www.magazineluiza.com.br/geladeira-refrigerador-samsung-frost-free-inverter-duplex-inox-look-385l-powervolt-evolution-rt38/p/013091500/ed/refr/
Geladeira/Refrigerador Consul Frost Free;3248.0;4;12;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-410l-crm50hk/p/013095100/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Evox;3699.0;4;49;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-evox-duplex-400l-brm54-hkana/p/013081800/ed/refr/
Geladeira/Refrigerador Samsung Frost Free Inverter;4299.0;3;19;https://www.magazineluiza.com.br/geladeira-refrigerador-samsung-frost-free-inverter-duplex-inox-look-460l-powervolt-evolution-rt46/p/013091200/ed/refr/
Geladeira Consul Frost Free Duplex 410 litros com Espaço Flex cor Branca Com Controle Interno de Temperatura CRM50HB;3279.0;5;1;https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-410-litros-com-espaco-flex-cor-branca-com-controle-interno-de-temperatura-crm50hb/p/dd0h1j6839/ed/refr/
Geladeira/Refrigerador Consul Frost Free Duplex;2848.0;4;262;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-branca-386l-com-prateleira-dobravel-crm43nbana/p/013075001/ed/refr/
Geladeira Brastemp Frost Free Inverse 573 litros Branca com Smart Bar - BRE80AB;5041.0;5;3;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-inverse-573-litros-branca-com-smart-bar-bre80ab/p/9169835/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free Inox;4399.0;4;26;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inox-inverse-454l-painel-blue-touch-db53x/p/013080400/ed/rinv/
Geladeira/Refrigerador Philco Frost Free;4743.9;4;13;https://www.magazineluiza.com.br/geladeira-refrigerador-philco-frost-free-side-by-side-489l-prf504i/p/226437000/ed/refr/
Refrigerador Electrolux Cycle Defrost 260L Branco 127v - DC35A;1967.02;4;11;https://www.magazineluiza.com.br/refrigerador-electrolux-cycle-defrost-260l-branco-127v-dc35a/p/ddh91fb26a/ed/refr/
Geladeira Brastemp Frost Free Duplex 375 litros cor Inox com Espaço Adapt - BRM45HK;3619.0;1;1;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375-litros-cor-inox-com-espaco-adapt-brm45hk/p/5556956/ed/refr/
Geladeira Electrolux 2 Portas Cycle Defrost 260L 127v Branco;1699.0;5;0;https://www.magazineluiza.com.br/geladeira-electrolux-2-portas-cycle-defrost-260l-127v-branco/p/5777638/ed/refr/
Geladeira/Refrigerador Brastemp 375 Litros BRM44, Frost Free, 2 Portas, Branco;2564.05;4;10;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-375-litros-brm44-frost-free-2-portas-branco/p/ddbej1dja6/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free;3499.0;4;3;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-branca-431l-tf55-top-freezer/p/013016501/ed/refr/
Geladeira Electrolux Top Freezer 382L Branco (TF42);2696.07;4;46;https://www.magazineluiza.com.br/geladeira-electrolux-top-freezer-382l-branco-tf42/p/abggf750e0/ed/refr/
Geladeira Frost Free Electrolux 454 Litros Inverse Cor Inox (DB53X);3905.07;4;3;https://www.magazineluiza.com.br/geladeira-frost-free-electrolux-454-litros-inverse-cor-inox-db53x/p/7369658/ed/refr/
Geladeira/Refrigerador Consul Frost Free Duplex;3199.0;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-branca-410l-crm50hb/p/013094000/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free;3989.05;4;6;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inverter-duplex-platinum-431l-if55s-top-freezer/p/222431300/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Evox;5279.0;4;7;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-evox-573l-com-smart-bar-ative-inverse-maxi/p/013021200/ed/refr/
Geladeira/Refrigerador Continental Frost Free;2699.0;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-continental-frost-free-duplex-370l-prata-tc41s/p/225421300/ed/refr/
Geladeira Consul Frost Free 342 litros Branca com Gavetão Hortifruti - CRB39AB;2398.0;5;2;https://www.magazineluiza.com.br/geladeira-consul-frost-free-342-litros-branca-com-gavetao-hortifruti-crb39ab/p/8316282/ed/refr/
Geladeira/Refrigerador Continental Frost Free;2659.0;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-continental-frost-free-duplex-branca-370l-tc41/p/013090000/ed/refr/
Geladeira Refrigerador Brastemp 375 Litros Frost Free 2 Portas BRM44;2794.57;5;0;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-375-litros-frost-free-2-portas-brm44/p/5125814/ed/refr/
Geladeira/Refrigerador Frost Free 310 Litros Branco Electrolux (TF39);2045.07;5;0;https://www.magazineluiza.com.br/geladeira-refrigerador-frost-free-310-litros-branco-electrolux-tf39/p/4962935/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free French;5889.05;4;16;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-french-door-branca-5406l-com-ice-maker-ative-bro80/p/084246400/ed/grfd/
Geladeira Frost Free Electrolux 579 Litros 3 Portas Inverse Cor Inox (DM84X);6202.17;5;1;https://www.magazineluiza.com.br/geladeira-frost-free-electrolux-579-litros-3-portas-inverse-cor-inox-dm84x/p/6637885/ed/grfd/
Geladeira/Refrigerador Brastemp Frost Free Duplex;3399.0;4;59;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-duplex-branca-400l-brm54-hbana/p/013081401/ed/ref2/
Geladeira Duplex Electrolux 371 Litros Frost Free Branca DFN41 - 220V;2299.0;5;0;https://www.magazineluiza.com.br/geladeira-duplex-electrolux-371-litros-frost-free-branca-dfn41-220v/p/djfdfc2jf4/ed/refr/
Geladeira/Refrigerador Consul Frost Free Duplex;3548.0;3;5;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-branca-397l-cre44ab/p/013087401/ed/rinv/
Geladeira French Door Eco Inverter Philco Frost Free Inox PRF380l - 110V;3952.93;5;0;https://www.magazineluiza.com.br/geladeira-french-door-eco-inverter-philco-frost-free-inox-prf380l-110v/p/eafc4g1284/ed/grfd/
Geladeira Side Inverse com Ice Maker Brastemp 540 Litros Frost Free Inox BRO80AK - 110V;6399.0;5;2;https://www.magazineluiza.com.br/geladeira-side-inverse-com-ice-maker-brastemp-540-litros-frost-free-inox-bro80ak-110v/p/edke96941g/ed/refr/
Geladeira/Refrigerador Consul Frost Free Duplex;;4;18;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-branca-340l-crm39abana/p/013086600/ed/refr/
Refrigerador Consul CRA30FB 261 Litros Branco 110v;1453.82;4;22;https://www.magazineluiza.com.br/refrigerador-consul-cra30fb-261-litros-branco-110v/p/ah17490415/ed/refr/
Geladeira Refrigerador Electrolux 2 Portas 260 Litros Defrost - DC35A;1979.91;4;6;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-2-portas-260-litros-defrost-dc35a/p/ebjbjk993d/ed/refr/
Geladeira/Refrigerador Brastemp Frost Free Evox;4399.0;4;58;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-evox-duplex-462l-brm56akana/p/013082800/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free;3699.9;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inverter-duplex-branca-431l-if55-top-freezer/p/222431100/ed/refr/
Geladeira/Refrigerador Electrolux Frost Free Inox;3199.0;4;27;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inox-duplex-371l-dfx41/p/013080800/ed/refr/
Geladeira Consul Frost Free CRM39 Duplex 340 litros com Prateleiras;2401.17;5;7;https://www.magazineluiza.com.br/geladeira-consul-frost-free-crm39-duplex-340-litros-com-prateleiras/p/kc4fked2ag/ed/ref2/
Geladeira Duplex Consul 334 Litros Cycle Defrost Branca CRD37EB - 220V;1818.7;5;0;https://www.magazineluiza.com.br/geladeira-duplex-consul-334-litros-cycle-defrost-branca-crd37eb-220v/p/jjdb41c6k4/ed/refr/
Geladeira Refrigerador Consul 334 Litros 2 Portas Classe A CRD37EB;1793.97;5;1;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-334-litros-2-portas-classe-a-crd37eb/p/7089710/ed/refr/
Geladeira/Refrigerador Inverse Frost Free 443L Brastemp BRE57AK Inox 220V;5070.39;3;1;https://www.magazineluiza.com.br/geladeira-refrigerador-inverse-frost-free-443l-brastemp-bre57ak-inox-220v/p/jac969257g/ed/rinv/
Geladeira Side By Side Eco Inverter Philco 434 Litros Inox PRF533ID - 110V;4119.95;5;0;https://www.magazineluiza.com.br/geladeira-side-by-side-eco-inverter-philco-434-litros-inox-prf533id-110v/p/agb74akjdk/ed/refr/
Geladeira/Refrigerador Consul Degelo Seco 1 Porta;1804.05;4;28;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-degelo-seco-1-porta-branca-261l-com-gavetao-cra30-fbana/p/010053401/ed/refr/
Refrigerador 2 Portas Consul 334 Litros Cycle Defrost Classe A;2159.91;5;0;https://www.magazineluiza.com.br/refrigerador-2-portas-consul-334-litros-cycle-defrost-classe-a/p/fhdgf9g1c5/ed/refr/
Geladeira/Refrigerador Frost Free 375L Brastemp BRM45HK Evox 220V;3091.57;4;4;https://www.magazineluiza.com.br/geladeira-refrigerador-frost-free-375l-brastemp-brm45hk-evox-220v/p/fjhb0dc2h9/ed/refr/
Geladeira Brastemp Inverse Frost Free 443 Litros;4369.05;5;0;https://www.magazineluiza.com.br/geladeira-brastemp-inverse-frost-free-443-litros/p/aa6d27fgj0/ed/rinv/
Geladeira Consul Frost Free Duplex 410 litros com Espaço Flex cor Inox Com Controle Interno de Temperatura CRM50HK;3619.0;5;1;https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-410-litros-com-espaco-flex-cor-inox-com-controle-interno-de-temperatura-crm50hk/p/dhk8ghffk1/ed/refr/
Geladeira Brastemp Frost Free Inverse 573 litros Branca com Smart Bar - BRE80AB;5041.0;5;3;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-inverse-573-litros-branca-com-smart-bar-bre80ab/p/9258928/ed/rinv/
Geladeira/Refrigerador Esmaltec Cycle Defrost - Duplex Branco 276L RCD34;1673.91;5;0;https://www.magazineluiza.com.br/geladeira-refrigerador-esmaltec-cycle-defrost-duplex-branco-276l-rcd34/p/bj9k9k21jj/ed/refr/
Geladeira Samsung RF27T Inverter Frost Free Smart 3 Portas com Soundbar 614L Inox Preta;28709.0;3;3;https://www.magazineluiza.com.br/geladeira-samsung-rf27t-inverter-frost-free-smart-3-portas-com-soundbar-614l-inox-preta/p/geh3305707/ed/refr/
Geladeira Refrigerador Electrolux 260 Litros Defrost 2 Portas Classe A DC35A;1682.37;5;2;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-260-litros-defrost-2-portas-classe-a-dc35a/p/7779872/ed/ref2/
Geladeira/Refrigerador Midea Frost Free;5399.0;4;7;https://www.magazineluiza.com.br/geladeira-refrigerador-midea-frost-free-side-by-side-capacidade-528l-rs5871/p/013091800/ed/grsb/
Geladeira/Refrigerador Top Freezer 474L Branco (TF56);3068.07;4;62;https://www.magazineluiza.com.br/geladeira-refrigerador-top-freezer-474l-branco-tf56-electrolux/p/dgcc08fhkc/ed/refr/
Geladeira Brastemp Frost Free Duplex 400 litros cor Inox com Freeze Control - BRM54HK;3674.46;5;2;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-400-litros-cor-inox-com-freeze-control-brm54hk/p/7278466/ed/refr/
Geladeira/Refrigerador Consul Frost Free Evox;2399.0;4;39;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-evox-1-porta-342l-com-gavetao-crb39-akana/p/217204200/ed/refr/
Geladeira Brastemp Frost Free Duplex 500 litros Branca com Turbo Control;4759.0;5;0;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-500-litros-branca-com-turbo-control/p/7552223/ed/refr/
Geladeira Consul CRE44AB Frost Free 2 Portas 397L;3599.91;5;0;https://www.magazineluiza.com.br/geladeira-consul-cre44ab-frost-free-2-portas-397l/p/ekd6fc18jg/ed/rinv/
Geladeira Consul Frost Free CRM39 Duplex 340 litros com Prateleiras;2677.42;5;7;https://www.magazineluiza.com.br/geladeira-consul-frost-free-crm39-duplex-340-litros-com-prateleiras/p/hdb71gd546/ed/ref2/
Geladeira/Refrigerador Brastemp Frost Free Duplex;3999.0;4;39;https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-duplex-branca-462l-brm56-abana/p/013082201/ed/ref2/
Geladeira/Refrigerador Electrolux IF56B Inverter;5599.0;5;0;https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-if56b-inverter-top-freezer-frost-free-474l-black-inox-look/p/231218500/ed/refr/
Geladeira Brastemp Frost Free Inverse 443 litros cor Inox com Turbo Ice - BRE57AK;4595.66;5;0;https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-inverse-443-litros-cor-inox-com-turbo-ice-bre57ak/p/7427807/ed/rinv/
Geladeira Panasonic Bottom Freezer 2 Portas Frost Free 425L NR-BB53GV3 Preto;4999.0;5;0;https://www.magazineluiza.com.br/geladeira-panasonic-bottom-freezer-2-portas-frost-free-425l-nr-bb53gv3-preto/p/egc0g1b318/ed/rinv/
Refrigerador/geladeira bt40 bd1xb aço escovado 2 portas 387l frost free -panasonic;2991.55;5;0;https://www.magazineluiza.com.br/refrigerador-geladeira-bt40-bd1xb-aco-escovado-2-portas-387l-frost-free-panasonic/p/befcc01361/ed/refr/
Refrigerador Cycle Defrost 260L Branco DC35A 127V;2177.1;5;0;https://www.magazineluiza.com.br/refrigerador-cycle-defrost-260l-branco-dc35a-127v-electrolux/p/djh89j0445/ed/refr/
Geladeira Panasonic Frost Free 387L Inox  NR-BT40BD1XB;2749.0;5;0;https://www.magazineluiza.com.br/geladeira-panasonic-frost-free-387l-inox-nr-bt40bd1xb/p/ed8b3d3ek9/ed/refr/
Refrigerador 245 Litros Esmaltec 1 Porta Classe A ROC31;1413.8;5;0;https://www.magazineluiza.com.br/refrigerador-245-litros-esmaltec-1-porta-classe-a-roc31/p/6858451/ed/refr/
Geladeira Inverse Inverter Electrolux 454 Litros Frost Free Branca IB53 - 220V;3316.15;5;0;https://www.magazineluiza.com.br/geladeira-inverse-inverter-electrolux-454-litros-frost-free-branca-ib53-220v/p/jf296f84fe/ed/refr/
