Descrição,Preço,Estrelas,TotalReviews,Url
"Zhiyun Combo Smooth Q3, estabilizador portátil de 3 eixos para smartphone com tripé de aderência, capa protetora com luz de preenchimento de LED, estabilizador de telefone dobrável compatível com iPhone e Android","R$ 685,14","4,4 de 5 estrelas",43,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05144581BWUIQ9SH38L4&url=%2FSmooth-Q3-estabilizador-smartphone-preenchimento%2Fdp%2FB095HSJFLX%2Fref%3Dsr_1_1_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1633878147%26sr%3D8-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26psc%3D1&qualifier=1633878147&id=3195731983587531&widgetName=sp_atf
"Domary Pulseira inteligente Q1 de 1,14 polegadas tela colorida pulseira de esportes Smartband BT 4.0 Fitness Tracker IP67 pulseira inteligente à prova d'água para smartphones IOS/Android","R$ 70,18",,,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09686513CGJBU8HZQ9ST&url=%2FDomary-inteligente-polegadas-Smartband-smartphones%2Fdp%2FB09HJS9RTL%2Fref%3Dsr_1_2_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1633878147%26sr%3D8-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1&qualifier=1633878147&id=3195731983587531&widgetName=sp_atf
"Teclado sem fio Logitech K380 com Conexão Bluetooth para até 3 dispositivos e Pilha Inclusa para PC, Mac, Android, iOS e Apple TV - Cinza","R$ 243,84","4,8 de 5 estrelas",524,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07635582Z8MFUEXBWJDI&url=%2FTeclado-Bluetooth-Multi-Dispositivo-Logitech-Teclados%2Fdp%2FB075F3WMMC%2Fref%3Dsr_1_3_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1633878147%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6%26psc%3D1&qualifier=1633878147&id=3195731983587531&widgetName=sp_atf
Miaoqian EY-620A celular smartphone mini microfone omnidirecional portátil para gravação,"R$ 61,00",,,https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03690283FKLYYE67TVRQ&url=%2FMiaoqian-smartphone-microfone-omnidirecional-port%25C3%25A1til%2Fdp%2FB09BYWYF1H%2Fref%3Dsr_1_4_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1633878147%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26psc%3D1&qualifier=1633878147&id=3195731983587531&widgetName=sp_atf
"Smartphone Positivo Q20, 4Gb Ram, 128Gb, Tela 6.1"", Camêra 13Mp Wide, 5Mp Ultrawide e 2Mp Profundidade, Câmera Frontal de 8Mp , Midnight Blue","R$ 799,00","4,1 de 5 estrelas",841,https://www.amazon.com.br/Smartphone-Positivo-Q20-Ultrawide-Profundidade/dp/B08C4PTMMG/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smartphone LG K41S 32GB, RAM de 3GB, Tela de 6,5” V- Notch, Câmera Quádrupla e Processador Octa-Core 2.0, Preto","R$ 837,90","4,6 de 5 estrelas",1.367,https://www.amazon.com.br/Smartphone-LG-Qu%C3%A1drupla-Processador-Octa-Core/dp/B0883XCNFN/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Poco X3 PRO 256gb 8gb RAM – Phantom Black - Preto,"R$ 1.925,00","4,8 de 5 estrelas",2.095,https://www.amazon.com.br/Smartphone-Poco-PRO-256gb-8gb/dp/B0919PLV7S/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smartphone ASUS Zenfone Max Pro M2, 6GB 64GB, Black Saphire","R$ 1.035,00","4,5 de 5 estrelas",449,https://www.amazon.com.br/Zenfone-Max-Pro-M2-6GB-64GB/dp/B082C7P34T/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Xiaomi Redmi 9 Dual Chip 64gb 4gb Sunset Purple,"R$ 1.078,39","4,8 de 5 estrelas",3.813,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Sunset-Purple/dp/B08B3NVQ7V/ref=sr_1_9?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-9&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smartphone Xiaomi Redmi 9 India 64GB 4GB RAM Tela 6,53'' Android 10 Octa-Core Dual Sim - Preto","R$ 999,90","4,2 de 5 estrelas",12.567,https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Android-Octa-Core/dp/B086985T6R/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Smartphone Nokia 2.4 64GB 3GB RAM Tela de 6,5 Pol. Câmera Traseira 13MP + 2MP Cinza - NK015","R$ 899,00","4,5 de 5 estrelas",9,https://www.amazon.com.br/Smartphone-Nokia-C%C3%A2mera-Traseira-Cinza/dp/B09155M38C/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1633878147&sr=8-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
