Descrição;Preço;Estrelas;TotalReviews;Url;Data
Notebook Acer Aspire 3 A315-23-R6HC AMD Ryzen 5 8GB RAM 512GB SSD Windows 10;R$ 3.375,90;4,6 de 5 estrelas;682;https://www.amazon.com.br/Notebook-Aspire-A315-23-R6HC-Ryzen-Windows/dp/B09B1RPWKV/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
Notebook Acer Aspire 5 A515-54-55L0 Core I5 –10210U 8GB Win10;R$ 3.451,25;0;0;https://www.amazon.com.br/Notebook-Aspire-A515-54-55L0-10210U-Win10/dp/B09B1DS8DP/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
Headset com fio Logitech H151 com Microfone com Redução de Ruído e Conexão 3,5mm;R$ 99,89;4,3 de 5 estrelas;3.587;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A07153832NUS9CULF4RNL&url=%2FHeadset-Est%25C3%25A9reo-Anal%25C3%25B3gico-Logitech-Microfones%2Fdp%2FB00WGQNJK4%2Fref%3Dsr_1_13_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634758236%26s%3Delectronics%26sr%3D1-13-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26psc%3D1&qualifier=1634758236&id=6668500773273400&widgetName=sp_mtf;2021-10-20
Headset gamer fone de ouvido com microfone Adamantin Baldur pc ps4 ps5 celular Xbox One series nintendo switch notebook p2 3,5mm preto;R$ 134,99;5,0 de 5 estrelas;1;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A08841953TI55OZL93U39&url=%2FHeadset-microfone-Adamantin-nintendo-notebook%2Fdp%2FB099SDMVHC%2Fref%3Dsr_1_14_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634758236%26s%3Delectronics%26sr%3D1-14-spons%26ufe%3Dapp_do%253Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74%26psc%3D1&qualifier=1634758236&id=6668500773273400&widgetName=sp_mtf;2021-10-20
Punk Mechanical Keyboard, 87-key Green Axis Gaming Keyboards, Professional Office Notebook Keyboard, Waterproof, Dustproof, Compatible with Win XP/7/8/10MAC 10.2 and Above Yongqin;R$ 245,00;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A03595732SBTPSOJXXEG5&url=%2FMechanical-Professional-Waterproof-Compatible-Yongqin%2Fdp%2FB0928RM6NG%2Fref%3Dsr_1_15_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dnotebook%26qid%3D1634758236%26s%3Delectronics%26sr%3D1-15-spons%26ufe%3Dapp_do%253Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6%26psc%3D1%26smid%3DA178SLX5XNUEWD&qualifier=1634758236&id=6668500773273400&widgetName=sp_mtf;2021-10-20
"Notebook Lenovo 2 em 1 IdeaPad Flex 5i, Intel Core i5-1035G, 8GB RAM, 256GB SSD, Windows 10, 14"" Full HD WVA, Grafite";R$ 4.499,00;4,7 de 5 estrelas;72;https://www.amazon.com.br/Notebook-Lenovo-ideapad-i5-1035G1-81WS0002BR/dp/B08HW1CCL4/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
"Notebook IdeaPad Gaming 3i, Intel Core i5-10300H, 8GB RAM, 256GB SSD, Placa Dedicada GTX 1650 4GB, Windows 10, 15.6"" Full HD WVA, Azul";R$ 4.949,10;4,6 de 5 estrelas;117;https://www.amazon.com.br/Notebook-IdeaPad-i5-10300H-Dedicada-Windows/dp/B09456NBGP/ref=sr_1_17?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
"Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata";R$ 4.199,00;4,6 de 5 estrelas;473;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-i7-1065G7/dp/B08GHMC5LF/ref=sr_1_18?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
Notebook Acer Aspire 5 A515-54-50BT Intel Core i5 8GB Win10;R$ 3.633,86;4,6 de 5 estrelas;499;https://www.amazon.com.br/Notebook-Aspire-A515-54-50BT-Intel-Win10/dp/B094DT74QB/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
Notebook Samsung 13.3 Full HD Intel 2.6GHz 4GB RAM 64GB SSD Windows 10 PRO;R$ 1.999,90;4,5 de 5 estrelas;22;https://www.amazon.com.br/Notebook-Samsung-Intel-2-6GHz-Windows/dp/B092337B7M/ref=sr_1_20?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634758236&s=electronics&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-20
