Descrição;Preço;Estrelas;TotalReviews;Url;Data
Smartphone Poco X3 PRO 256gb 8gb RAM – Phantom Black - Preto;R$ 1.980,00;4,8 de 5 estrelas;2.652;https://www.amazon.com.br/Smartphone-Poco-PRO-256gb-8gb/dp/B0919PLV7S/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
Smartphone Motorola Moto E6i 32GB Cinza - 4G 2GB RAM Tela 6,1” Câm. Dupla + Selfie 5MP;R$ 749,00;4,3 de 5 estrelas;8;https://www.amazon.com.br/Smartphone-Motorola-Moto-32GB-Cinza/dp/B0927TCTGN/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
UGREEN Fones de ouvido Lightning certificado MFi compatível com iPhone com controle de volume de microfone para iPhone 12 Mini Pro Max SE 11 Pro Max XR XS 8 7;R$ 157,20;4,2 de 5 estrelas;789;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A047763225GAAMAFB2YWK&url=%2FUGREEN-Lightning-certificado-compat%25C3%25ADvel-microfone%2Fdp%2FB08JLDHCW7%2Fref%3Dsr_1_13_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1635359134%26s%3Delectronics%26sr%3D1-13-spons%26ufe%3Dapp_do%253Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12%26psc%3D1&qualifier=1635359134&id=6960036625428812&widgetName=sp_mtf;2021-10-27
Teclado sem fio Logitech K380 com Conexão Bluetooth para até 3 dispositivos e Pilha Inclusa para PC, Mac, Android, iOS e Apple TV - Cinza;R$ 212,96;4,8 de 5 estrelas;558;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A07635582Z8MFUEXBWJDI&url=%2FTeclado-Bluetooth-Multi-Dispositivo-Logitech-Teclados%2Fdp%2FB075F3WMMC%2Fref%3Dsr_1_14_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1635359134%26s%3Delectronics%26sr%3D1-14-spons%26ufe%3Dapp_do%253Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b%26psc%3D1&qualifier=1635359134&id=6960036625428812&widgetName=sp_mtf;2021-10-27
Teclado BT recarregável mudo Compatibilidade com vários sistemas Compatibilidade com teclas multifuncionais Teclado BT + cabo USB preto;R$ 116,45;0;0;https://www.amazon.com.br/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A066429818ZT2H4RRCN3B&url=%2FTeclado-recarreg%25C3%25A1vel-Compatibilidade-sistemas-multifuncionais%2Fdp%2FB09JJZSD94%2Fref%3Dsr_1_15_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dsmartphone%26qid%3D1635359134%26s%3Delectronics%26sr%3D1-15-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26psc%3D1&qualifier=1635359134&id=6960036625428812&widgetName=sp_mtf;2021-10-27
Smartphone Multilaser F Pro 4G 16GB Android 9 Preto - P9118;R$ 499,90;4,0 de 5 estrelas;63;https://www.amazon.com.br/Smartphone-Multilaser-16GB-Android-Preto/dp/B084LHWPD7/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
Smartphone Poco X3 PRO 256gb 8gb RAM – Frost Blue - Azul;R$ 2.009,00;4,8 de 5 estrelas;1.478;https://www.amazon.com.br/Smartphone-Poco-PRO-256gb-8gb/dp/B0919N55XG/ref=sr_1_17?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
Smartphone Nokia 5.3 128GB Dual SIM 4GB RAM Tela 6,55 Pol. Câmera Quádrupla com IA + Lentes Ultra-Wide Carvão NK007;R$ 1.349,00;4,4 de 5 estrelas;177;https://www.amazon.com.br/Smartphone-Nokia-Qu%C3%A1drupla-Ultra-Wide-NK007/dp/B08MB7B9M7/ref=sr_1_18?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
Smartphone Poco X3 PRO 256gb 8gb RAM - Metal Bronze - Dourado;R$ 1.995,00;4,8 de 5 estrelas;690;https://www.amazon.com.br/Smartphone-Poco-X3-PRO-256gb/dp/B0919LWHVK/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
Smartphone Multilaser G Pro 2 32GB + 2GB RAM 4G Tela 6,5 Câmera Tripla + 8 MP para selfies Processador Octa Core Preto - P9125;R$ 675,00;4,8 de 5 estrelas;11;https://www.amazon.com.br/SMARTPHONE-P9125-32GB-TELA-PRETO/dp/B08Z4GF56G/ref=sr_1_20?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=smartphone&qid=1635359134&s=electronics&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-27
