Descrição,Preço,Estrelas,TotalReviews,Url,Loja,Categoria
"Notebook Lenovo Ultrafino ideapad S145, Intel Core i3-1005G1, 4GB RAM, 128GB SSD + Microsoft 365 Personal Windows 10 S 15.6""",3274.53,4.6,514.0,https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-i3-1005G1-Microsoft/dp/B08WJQ9JNY/ref=sr_1_21?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Multilaser Legacy Book Intel Pentium Quadcore 4GB 64GB Windows 10 Home 14,1 Pol. HD Preto - PC310",1338.35,3.7,246.0,https://www.amazon.com.br/Notebook-Multilaser-Pentium-Quadcore-Windows/dp/B08GKTVNH3/ref=sr_1_22?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
Notebook ASUS VivoBook X543MA-GQ1300T CELERON DUAL CORE N4020 Intel UHD600 / 4 GB / 500 GB SATA / Windows 10 Home / Cinza Escuro,2062.63,4.2,19.0,https://www.amazon.com.br/Notebook-ASUS-VivoBook-X543MA-GQ1300T-CELERON/dp/B099KPD4TS/ref=sr_1_23?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Lenovo 2 em 1 IdeaPad Flex 5i, Intel Core i5-1035G, 8GB RAM, 256GB SSD, Windows 10, 14"" Full HD WVA, Grafite",4499.0,4.7,71.0,https://www.amazon.com.br/Notebook-Lenovo-ideapad-i5-1035G1-81WS0002BR/dp/B08HW1CCL4/ref=sr_1_24?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-24&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Dell Inspiron i15-3501-A50P 15.6"" HD 11ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GeForce Windows 10 Preto",5779.99,4.3,28.0,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-3501-A50P-Gera%C3%A7%C3%A3o/dp/B09541LNTM/ref=sr_1_25?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-25&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Dell Inspiron i15-3501-A45P 15.6"" HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Preto",4399.0,4.8,68.0,https://www.amazon.com.br/Notebook-Dell-Inspiron-i15-3501-A45P-Gera%C3%A7%C3%A3o/dp/B091D3HWLK/ref=sr_1_26?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-26&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook 2 em 1 Positivo DUO C464C Intel® Celeron® Dual-Core™ Windows 10 Home Full HD 11.6"" Touchscreen - Cinza",1567.48,4.1,301.0,https://www.amazon.com.br/Notebook-Positivo-Celeron%C2%AE-Dual-CoreTM-Touchscreen/dp/B08DC59WWW/ref=sr_1_27?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-27&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Samsung BookIntel® Core™ i5-1135G7, 11 Geração, Windows 10 Home, 8GB, 1TB HD, Intel Iris Xe, 15.6'' Full HD LED, 1.86kg",3742.05,3.8,9.0,https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i5-1135G7-Gera%C3%A7%C3%A3o-Windows/dp/B09446BLQ4/ref=sr_1_28?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-28&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"NOTEBOOK ACER 15.6"" A315-23-R6DJ AMD RYZEN 3 3250U HD1TB 8GB W10H",4095.24,4.5,674.0,https://www.amazon.com.br/NOTEBOOK-ACER-A315-23-R6DJ-RYZEN-3250U/dp/B08QM569KZ/ref=sr_1_29?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-29&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
"Notebook Gamer Legion 5i i7-10750H 16GB 512GB SSD RTX2060 6GB W10 15.6"" Full HD WVA 82CF0002BR",9199.0,4.6,62.0,https://www.amazon.com.br/Notebook-Legion-i7-10750H-RTX2060-82CF0002BR/dp/B08GL1W94V/ref=sr_1_30?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1634260358&s=computers&sr=1-30&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,Amazon,Notebook
