;Descrição;Preço;TotalReviews;Loja;Categoria;Armazenamento
381;"Smartphone Samsung Galaxy A01 Core 32GB 2GB RAM Tela Infinita de 5.3"" Vermelho";959.9;19.0;Amazon;Smartphone;32gb
382;"Celular Samsung Galaxy A10s Preto 32gb Android 9.0 Pie Tela 6.2"" Camera 13mp";990.0;149.0;Amazon;Smartphone;32gb
393;Zenfone  Live L2 OctaCore 2GB 32GB , Vermelho;789.0;117.0;Amazon;Smartphone;32gb
396;Smartphone Samsung Galaxy A01, 32GB - Preto;1029.0;217.0;Amazon;Smartphone;32gb
397;SMARTPHONE XIAOMI REDMI 9 32GB 3RAM CINZA;922.09;1032.0;Amazon;Smartphone;32gb
408;"Smartphone Xiaomi Redmi 7A 32GB/2GB 5.45"" 4.000mAh - Azul";859.14;1484.0;Amazon;Smartphone;32gb
417;Smartphone Samsung Galaxy A01 Core', 32gb, Quad-core, Azul;916.98;97.0;Amazon;Smartphone;32gb
419;Celular Motorola Moto E7 Power Azul Metalico 32gb Tela 6.5 Cam Dupla 13mp + 2mp;829.0;25.0;Amazon;Smartphone;32gb
420;Celular smartphone realme c11 32gb 2gb ram azul;682.12;24.0;Amazon;Smartphone;32gb
422;CELULAR XIAOMI REDMI 9 DUAL 32GB OCEAN GREEN (VERDE);1054.0;506.0;Amazon;Smartphone;32gb
424;"Smartphone Positivo Twist 4G S509 32GB Dual Chip 5"" - Cinza";569.0;4.0;Amazon;Smartphone;32gb
430;Smartphone Xiaomi Redmi 9A Tela 6.53 32GB 13MP 4G Peacock Green CX298VRD;869.9;8.0;Amazon;Smartphone;32gb
431;"Smartphone Samsung Galaxy A01 Core 32GB Tela 5.3"" Camera 8MP Vermelho";759.0;50.0;Amazon;Smartphone;32gb
440;Smartphone Samsung Galaxy A10S 32GB Dual 6.2” 13MP - Azul;1039.99;102.0;Amazon;Smartphone;32gb
444;"Smartphone Samsung Galaxy A02, Camera Dupla Traseira 13MP + 2MP, Selfie de 5MP, Tela Infinita de 6.5"", 32GB, 2GB RAM, Quad Core, Bateria de 5000mAh, Dual Chip, Android - Preto";763.9;5.0;Amazon;Smartphone;32gb
448;"Smartphone Samsung Galaxy A01 32GB 5,7"" Câmera Dupla 13MP 2MP Frontal 5MP Vermelho";1029.0;27.0;Amazon;Smartphone;32gb
453;"Smartphone Samsung Galaxy A01 32GB Tela 5.7"" Camera 13MP Vermelho";1029.0;161.0;Amazon;Smartphone;32gb
454;"Smartphone Samsung Galaxy A02s Preto 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core";899.9;17.0;Amazon;Smartphone;32gb
457;"Smartphone Xiaomi Redmi 9C Azul 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira Tripla, Android 10";899.9;146.0;Amazon;Smartphone;32gb
461;"Smartphone Motorola Moto G5 Plus XT1683 Platinum 5,2"" Câmera 12MP Memória 32GB e 2GB de RAM";989.99;20.0;Amazon;Smartphone;32gb
470;"Celular Motorola Moto E7 Aquamarine 32gb Tela 6.5"" 2gb Ram Cam Dupla 48mp + 2mp";959.92;4.0;Amazon;Smartphone;32gb
476;"Celular Xiaomi Redmi 9A Versão Global 32gb / 2gb Ram/Tela 6.53"" - Green";799.0;609.0;Amazon;Smartphone;32gb
488;CELULAR XIAOMI REDMI 9 DUAL 32GB Sunset Purple (ROXO);1199.99;420.0;Amazon;Smartphone;32gb
510;Smartphone Motorola E6 Play, 5.5, 32gb, Android 9.0, Dual Chip, Câmera 13mp, Preto;749.0;89.0;Amazon;Smartphone;32gb
514;"Celular Xiaomi Redmi 9C Dual SIM 32GB 6.53"" - Midnight Gray";899.9;180.0;Amazon;Smartphone;32gb
519;"Smartphone Samsung Galaxy A02s Azul 32GB, Tela Infinita de 6.5"", Câmera Tripla, bateria 5000mAh, 3GB RAM e Processador Octa-Core";925.0;1.0;Amazon;Smartphone;32gb
520;Smartphone Xiaomi Redmi 9A 32GB Cinza - Homologado Anatel;899.99;101.0;Amazon;Smartphone;32gb
521;"Celular Smartphone idoso F31 Dual Chip 32GB Tela 6.26""ips, leitor digital, capa silicone e película (Cinza)";829.0;0.0;Amazon;Smartphone;32gb
1252;Smartphone Motorola Moto E7 Power 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul Metálico;645.05;121.0;Americanas;Smartphone;32gb
1255;Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Azul;759.05;173.0;Americanas;Smartphone;32gb
1264;Smartphone Motorola Moto E6i 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Pink;615.48;59.0;Americanas;Smartphone;32gb
1266;Smartphone Motorola Moto E7 Power 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho Coral;645.05;48.0;Americanas;Smartphone;32gb
1268;Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Vermelho;759.05;204.0;Americanas;Smartphone;32gb
1269;Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Preto;609.1;308.0;Americanas;Smartphone;32gb
1271;Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho;721.05;234.0;Americanas;Smartphone;32gb
1279;Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto;600.0;590.0;Americanas;Smartphone;32gb
1282;Smartphone Samsung Galaxy A02 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Azul;721.05;288.0;Americanas;Smartphone;32gb
1285;Smartphone Samsung Galaxy A02s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Tripla + Selfie 5MP - Preto;759.05;204.0;Americanas;Smartphone;32gb
1286;Smartphone Motorola Moto  E7 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Aquamarine;684.0;15.0;Americanas;Smartphone;32gb
1288;Smartphone Motorola Moto E7 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Metálico;684.0;0.0;Americanas;Smartphone;32gb
1292;Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Vermelho;616.55;310.0;Americanas;Smartphone;32gb
1295;Smartphone LG K22 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Vermelho;683.91;78.0;Americanas;Smartphone;32gb
1305;Smartphone LG K22 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Titânio;664.05;150.0;Americanas;Smartphone;32gb
1306;Smartphone Samsung Galaxy A01 Core 32GB 4G Wi-Fi Tela 5.3'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Azul;616.55;326.0;Americanas;Smartphone;32gb
1322;Smartphone Samsung Galaxy A10s 32GB 4G Wi-Fi Tela 6.2'' Dual Chip 2GB RAM Câmera Dupla + Selfie 8MP - Azul Absurdo;899.0;86.0;Americanas;Smartphone;32gb
1324;Smartphone Motorola Moto E6i 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Titanium;657.35;80.0;Americanas;Smartphone;32gb
1328;Smartphone Motorola Moto E6s 32GB 4G Wi-Fi Tela 6.1'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Cinza Titanium;779.0;21.0;Americanas;Smartphone;32gb
1332;Smartphone LG K41s 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 3GB RAM Câmera Quádrupla + Selfie 8MP - Preto;749.9;80.0;Americanas;Smartphone;32gb
1333;Smartphone Samsung Galaxy A01 32GB 4G Wi-Fi Tela 5.7'' Dual Chip 2GB RAM Câmera Dupla + Selfie 5MP - Preto;1199.0;592.0;Americanas;Smartphone;32gb
