,Data,Preço Americanas,Preço Amazon
0,2021-10-20,1537.042909090909,1314.6906382978725
1,2021-10-21,1555.7877586206896,1332.3639130434785
2,2021-10-22,1571.3132653061225,1565.980416666667
3,2021-10-23,1646.5808510638299,1299.667777777778
4,2021-10-24,1637.7620000000002,1587.0818750000005
5,2021-10-26,1815.7521428571429,1255.0537209302327
6,2021-10-27,1655.723541666667,1296.1230952380952
7,2021-10-28,1611.973404255319,1296.8425581395352
