Descrição;Preço;Data
"Kit Notebook Dell Inspiron i3501-M10PC 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 + Capa Essential";R$ 3.199,00;2021-10-21
Notebook Gamer Dell G15-a0700-MM20PB 15.6 fhd amd Ryzen 7 16GB 512GB ssd nvidia rtx 3060 Windows 11 + Mochila;R$ 9.839,00;2021-10-21
"Notebook Samsung Flash F30 Intel Celeron 4GB 64GB SSD Full HD Tela LED 13.3"" Windows 10 - Coral";;2021-10-21
"Notebook Dell Inspiron I15-3583-AS90P 8ª Intel Core I7 8GB 256GB SSD 15,6"" W10";R$ 4.699,99;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-P30H 15.6 FHD 11ª Intel i7 16GB 1TBSSD RTX3070 W11 + AW510H e Premium Support;;2021-10-21
Notebook Gamer Predator Helios 300 PH315-53-75N8 Intel Core i7 16GB 512GB ssd rtx 2060 15,6' Windows 10;R$ 8.264,05;2021-10-21
"Notebook Dell Inspiron I15-3501-A60P Intel Core i7-1165G7 8GB 256GB W10 15.6"" Preto";R$ 4.756,96;2021-10-21
"Notebook Ideapad Gaming 3i Intel Core i7-10750H 8GB (Geforce GTX 1650 4GB) 512GB SSD FHD W10 15.6"" Azul";R$ 5.899,99;2021-10-21
"Notebook Positivo Motion Gold 14.1"" HD, LED, Intel Atom Z8350, 4GB RAM, 64 GB eMMC, Q464C, Dourado";R$ 1.529,40;2021-10-21
Notebook Dell Alienware m15 R6 i1100-M10P 15.6 fhd 11ª ger Intel Core i7 16GB 512GB ssd rtx 3060 Win 11;;2021-10-21
Notebook Dell Alienware m15 R6 i1100-M30P 15.6 fhd 11ª ger Intel Core i7 16GB 1TB ssd rtx 3070 Win 11;;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-M30PB 15.6 fhd 11ª ger Intel Core i7 16GB 1TB ssd rtx 3070 Win 11 + Mochila;;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-M10PB 15.6 fhd 11ª ger Intel Core i7 16GB 512GB ssd rtx 3060 Win 11 + Mochila;R$ 12.599,00;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-M30M 15.6 fhd 11ª Intel Core i7 16GB 1TBSSD rtx 3070 Win11 + Monitor AW2521HF;R$ 18.529,00;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-M20PB 15.6 fhd 11ª ger Intel Core i7 16GB 1TB ssd rtx 3060 Win 11 + Mochila;R$ 13.599,00;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-M20M 15.6 fhd 11ª Intel Core i7 16GB 1TBSSD rtx 3060 Win11 + Monitor AW2521HF;R$ 17.529,00;2021-10-21
Kit Notebook Dell Alienware M15 R6 i1100-M10M 15.6 fhd 11ªg Intel i7 16GB 512GBSSD rtx 3060 Win 11 + Monitor AW2521HF;R$ 16.529,00;2021-10-21
"Notebook Ultrafino Dell Inspiron i5402-M10S 14"" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 10 Prata";R$ 5.799,00;2021-10-21
"Notebook Ultra UB522 Intel Core i5-5257U 8GB 240GB W10 15,6"" Prata";R$ 2.921,00;2021-10-21
Notebook Acer Aspire 5 A515-54G-52C1 Intel Core i5-10210U 8GB (MX250 2GB) 512GB W10 15.6'' ¿ Prata;R$ 4.348,19;2021-10-21
"Notebook Acer Aspire 5 A515-54-55L0 Intel Core i5-10210U 8GB 256GB SSD W10 15,6"" Preto";R$ 3.634,37;2021-10-21
"Notebook Vaio FE14 VJFE42F11X-B1521H Intel Core i3-10110U 4GB 128GB SSD FHD Linux 14"" Chumbo Escuro";R$ 2.944,90;2021-10-21
Notebook Gamer Predator Helios 300 PH315-53-75NL Intel Core i7 16GB 512GB ssd rtx 2070 max-q 15,6' Windows 10;R$ 9.024,05;2021-10-21
Notebook Positivo Motion Gray C4500Ei Intel Celeron Dual Core N3350 4GB 500GB HD 14,1'' Led HD Linux Cinza;R$ 1.549,99;2021-10-21
"Notebook Multilaser PC135 Legacy Cloud Intel Atom-Z8350 2GB 64GB W10 14"" Vermelho";R$ 1.347,18;2021-10-21
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;2021-10-21
"Notebook Multilaser PC310 Legacy Book Intel Pentium N3700 4GB 64GB W10 14"" - Preto";R$ 1.409,64;2021-10-21
Notebook Compaq Presario 430 Intel Core I3-6157U 4GB 120GB W10 14,1'' Cinza;R$ 2.460,32;2021-10-21
"Notebook Asus M515DA-EJ502T AMD R5-3500U 8GB 256GB W10 15.6"" Cinza";R$ 3.489,00;2021-10-21
Notebook Positivo Motion Q4128C Intel Atom-Z8350 4GB 128GB W10 14,1'' Dourado;R$ 1.749,99;2021-10-21
Notebook Asus Zenbook UX434FAC-A6340T Intel Core I7 8GB 256GB SSD W10 - Azul Escuro;R$ 6.489,00;2021-10-21
Notebook Asus X515JA-EJ592T Intel Core i5-1035G1 8GB 256GB W10 15,6'' Cinza;R$ 3.699,99;2021-10-21
Notebook Gamer Dell G15-a0500-MM10P 15.6 fhd amd Ryzen 5 8GB 512GB ssd nvidia rtx 3050 Windows 11;R$ 6.799,00;2021-10-21
"Notebook Gamer Dell G5-5590-A55P 9ª Intel Core I5 8GB (Geforce GTX1650 com 4GB) 512GB SSD 15,6"" W10";R$ 7.202,81;2021-10-21
