Descrição;Preço;Estrelas;TotalReviews;Url;Data
"Notebook Lenovo Ultrafino IdeaPad S145, AMD Ryzen 5, 8GB RAM, 1TB HD, Linux 15.6"", Prata";2999.0;4.5;2450;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-81V7S00100/dp/B0891ZH1FL/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-4&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
"Notebook Lenovo Ultrafino ideapad S145 i5-1035G1 8GB 256GB SSD Windows 10 15.6"" FHD 82DJ000GBR Prata";3229.99;4.7;420;https://www.amazon.com.br/Lenovo-Ultrafino-S145-i5-1035G1-82DJ000GBR/dp/B098V2Y9DJ/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
"Notebook Lenovo Ultrafino IdeaPad 3i, Intel Core i5-10210U, 8GB RAM, 256GB SSD, Windows 10, 15.6"", Prata";3324.99;4.7;4680;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-IdeaPad-i5-10210U/dp/B091SDJWXP/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
"Notebook Ultra 14"" Pentium 4GB 120GB SSD W10, UB320, Preto";1439.1;4.0;400;https://www.amazon.com.br/Notebook-Ultra-Pentium-120GB-UB320/dp/B0932LHR4Z/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
SAMSUNG Chromebook SS 11.6 Intel DC 4GB 32GB XE310XBA-KT1BR;1699.0;4.5;2570;https://www.amazon.com.br/SAMSUNG-Chromebook-11-6-Intel-XE310XBA-KT1BR/dp/B08LW3HX81/ref=sr_1_8?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-8&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Samsung BookIntel® Core™ i3-1115G4, 11 Geração, Windows 10 Home, 4GB, 1TB, 15.6'' Full HD LED, 1.86kg;2754.99;3.7;680;https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i3-1115G4-Gera%C3%A7%C3%A3o-Windows/dp/B09427BLZP/ref=sr_1_10?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-10&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Samsung Book Intel® Dual-Core, Windows 10 Home, 4GB, 500GB, 15.6'' Full HD LED, 1.86kg*.;2399.0;3.7;370;https://www.amazon.com.br/Samsung-Intel%C2%AE-Dual-Core-Windows-1-86kg/dp/B0931ZW98J/ref=sr_1_11?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-11&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Notebook Positivo Motion Q464C Intel® Atom® Quad-Core Windows 10 Home - Cinza;1540.52;4.0;760;https://www.amazon.com.br/Notebook-Positivo-Motion-Quad-Core-Windows/dp/B08SMM6PW2/ref=sr_1_12?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-12&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
"Notebook Lenovo Ultrafino ideapad S145, Intel Core i3-1005G1, 4GB RAM, 128GB SSD + Microsoft 365 Personal Windows 10 S 15.6""";2999.0;4.6;5280;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-i3-1005G1-Microsoft/dp/B08WJQ9JNY/ref=sr_1_16?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Samsung BookIntel® Core™ i5-1135G7, 11 Geração, Windows 10 Home, 8GB, 1TB HD, Intel Iris Xe, 15.6'' Full HD LED, 1.86kg;3419.09;3.9;130;https://www.amazon.com.br/Samsung-BookIntel%C2%AE-i5-1135G7-Gera%C3%A7%C3%A3o-Windows/dp/B09446BLQ4/ref=sr_1_19?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
"Notebook IdeaPad Gaming 3i, Intel Core i5-10300H, 8GB RAM, 256GB SSD, Placa Dedicada GTX 1650 4GB, Windows 10, 15.6"" Full HD WVA, Azul";5059.0;4.6;1270;https://www.amazon.com.br/Notebook-IdeaPad-i5-10300H-Dedicada-Windows/dp/B09456NBGP/ref=sr_1_20?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Notebook Multilaser Legacy Book Intel Pentium Quadcore 4GB 64GB Windows 10 Home 14,1 Pol. HD Preto - PC310;1339.54;3.8;2500;https://www.amazon.com.br/Notebook-Multilaser-Pentium-Quadcore-Windows/dp/B08GKTVNH3/ref=sr_1_21?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
"Notebook Lenovo Ultrafino ideapad S145 i5-1035G1, 8GB 1TB Windows 10 15.6"" Dolby Audio Design Leve e Compacto, Prata";4908.35;4.4;1017;https://www.amazon.com.br/Notebook-Lenovo-Ultrafino-ideapad-S145/dp/B088CFPCV7/ref=sr_1_22?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Notebook ASUS VivoBook X543MA-GQ1300T CELERON DUAL CORE N4020 Intel UHD600 / 4 GB / 500 GB SATA / Windows 10 Home / Cinza Escuro;2063.87;4.0;250;https://www.amazon.com.br/Notebook-ASUS-VivoBook-X543MA-GQ1300T-CELERON/dp/B099KPD4TS/ref=sr_1_23?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-23&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
Notebook Samsung 13.3 Full HD Intel 2.6GHz 4GB RAM 64GB SSD Windows 10 PRO;2309.0;4.4;250;https://www.amazon.com.br/Notebook-Samsung-Intel-2-6GHz-Windows/dp/B092337B7M/ref=sr_1_24?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=notebook&qid=1635254030&s=electronics&sr=1-24&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;2021-10-26
