nome;num_avali;avali;preco
Notebook Acer Core i5-10210U 8GB 256GB SSD Placa de Vídeo 2GB Tela 15.6” Windows 10 Aspire 5 A515-54G-53XP;53;5.0;2399.00
"Notebook Asus, Intel® Celeron® N4020 Dual Core, 4GB, 128GB, Tela 15,6"", Intel UHD600, Windows Pro, Black - E510MA-BR295R";3;4.5;2999.00
Notebook Samsung Dual Core 4GB 64GB SSD Tela Full HD 13.3” Windows 10 Flash F30 NP530XBB-AD1BR;491;4.5;4799.00
Notebook Acer Aspire 5 A515-54-72KU Intel Core i7 10ª Gen 8GB 512GB SDD 15,6` Full HD Endless;5;5.0;8899.00
"MacBook Air de 13"" 256GB SSD e M1 da Apple Cinza-espacial";28;5.0;1749.00
Notebook Positivo Motion Gold Q464C Intel Atom Quad Core 4GB 64GB SSD 14'' LED Webcam HD Windows 10 Home - Dourado;11;4.5;1499.00
Notebook Multilaser Legacy Intel Quad Core 2GB 64GB Win 10;2;3.5;2899.00
"Notebook Samsung Book Intel® Dual-Core, Windows 10, 4GB, 256GB SSD, 15.6"" Full HD LED";15;5.0;4799.00
Notebook Dell Core i7-8565U 8GB 256GB SSD Tela 15.6” Linux Inspiron 3583-DS90P;66;5.0;2999.00
"Notebook Dell Inspiron i3501-M10P 15.6"" HD 11ª Geração Intel Pentium Gold 4GB 128GB SSD Windows 10 Preto";25;4.5;2999.00
Notebook Acer Aspire 5 A514-53-32LB Intel Core I3 4GB RAM 128GB SSD 14.0` Windows 10;52;5.0;1997.00
Notebook Samsung Chromebook Dual-Core N3060 2GB Ram 16GB Tela 11.6 Chrome OS;18;4.0;2999.00
Notebook Acer Aspire 3 Intel Celeron 4GB 1TB Endless;0;0;4199.00
"Notebook Intel Core I3 4GB RAM 1TB Ultra UB422 Tela 14.1"" Full HD Linux Prata";5;5.0;1799.00
"Notebook Dell Inspiron 3501-M46S 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows";36;5.0;3699.00
Notebook Intel Atom 2GB RAM 64GB Multilaser Legacy Cloud PC134 Windows 10 Home Cinza;0;0;2378.00
Notebook Samsung Book Intel® Core™ i5, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Full HD LED;53;5.0;1668.00
Notebook Samsung Book NP550XDA-KO2BR + Microsoft 365 Personal Assinatura Anual para 1 Usuário PC, Mac, iOS e Android;2;4.5;4699.00
Notebook Positivo Intel Atom Quad Core 4GB 64GB eMMC Tela 14” Windows 10 Motion Q464C + Microsoft 365 Personal;0;0;2399.00
Notebook Dell Core i7-8565U 8GB 2TB Tela 15.6” Linux Inspiron I15-3583-D5XP;138;4.5;4099.00
"Notebook Asus, Intel Celeron Dual Core N4020, 4GB, 128GB, Tela de 15,6"", Blue - E510MA-BR352R";0;0;3999.00
Notebook Lenovo AMD Ryzen 7-3700U 8GB 512GB SSD Tela Full HD 15.6” Windows 10 Ideapad S145 81V70009BR;63;4.5;1618.90
Notebook Lenovo Core i5-10210U 8GB 256GB SSD Placa de Vídeo 2GB Tela 15.6” Windows 10 Ideapad 3i 82BS0001BR;0;0;2799.00
Notebook Multilaser Legacy 14 Pol. 2gb 32gb W10 Cinza Pc131;13;4.5;4899.00
Notebook Asus Core i3-7020U 4GB 256GB SSD Tela Full HD 15.6” Endless OS X543UA-DM3459;2;4.5;4999.00
Notebook Gamer Lenovo NVIDIA GeForce GTX 1650 Core i5-10300H 8GB 256GB SSD Tela Full HD 15.6” Windows 10 Ideapad Gaming 3i 82CG0002BR;7;4.5;2998.00
Notebook VAIO Core i7-10510U 8GB 1TB Tela 15.6” Windows 10 FE15 VJFE5211X-B0211H;84;4.5;7499.00
"Notebook Flash F30 Samsung, Intel Celeron N4000, 4GB, 64GB SSD, 13.3"" Full HD LED, Win 10 - Rosa";0;0;3699.00
"Notebook Ultrafino Dell Inspiron i5502-M40S 15.6"" Full HD 11ª G. Intel Core i7 16GB 512GB SSD NVIDIA GeForce Windows 10";67;5.0;2589.90
Notebook Asus Core i3-7020U 4GB 256GB SSD Tela Full HD 15.6” Windows 10 X543UA-DM3459T;9;5.0;3678.90
"Notebook Lenovo Ultrafino IdeaPad 3i i3-10110U 4GB 1TB Windows 10 15.6"" 82BS0002BR Prata";1;5.0;5199.00
"Notebook Intel Celeron 4GB RAM 64GB Multilaser Legacy Book PC260 14.1"" Windows 10 Preto";1;5.0;8899.00
Notebook Gamer Lenovo NVIDIA GeForce GTX 1050 Core i5-9300HF 8GB 256GB SSD Tela Full HD 15.6” Windows 10 Ideapad L340 81TR0006BR;19;5.0;4299.00
Notebook VAIO Core i3-1005G1 4GB 1TB Tela 15.6” Windows 10 FE15 VJFE53F11X-B0111H;39;4.5;4078.00
Notebook Acer Aspire 3 A315-34-C6ZS Celeron N4000 4GB 1TB;10;5.0;2889.41
"Notebook Lenovo Core i5-10210U 8GB 256GB SSD Tela 15.6"" Windows 10 Ideapad 3i 82BS0005BR + Microsoft 365 Personal";1;5.0;4299.00
Notebook Samsung Core i7-1165G7 8GB 1TB Tela Full HD 15.6” Windows 10 Book NP550XDA-KS3BR;28;5.0;4299.00
Notebook Gamer Acer NVIDIA GeForce GTX 1660Ti Core i7-10750H 8GB 512GB SSD Tela Full HD 15.6” Windows 10 Aspire Nitro 5 AN515-55-705U;4;4.5;5499.00
"Notebook Lenovo Ultrafino IdeaPad 3i i5 8GB 256 GB SSD Placa de Vídeo Dedicada W10 15.6"" 82BS0001BR";0;0;3799.00
Notebook Acer Core i5-10210U 8GB 256GB SSD Placa de Vídeo 2GB Tela 15.6” Windows 10 Aspire 5 A515-54G-53XP + Microsoft 365 Personal;1;5.0;3101.89
Notebook Dell Vostro 14 3468 Core i3-6006U 2C 2.0GHz, 4GB RAM, 500GB HD, Linux Ubuntu;0;0;2639.00
Notebook Asus Core i5-10210U 8GB 1TB Placa de Vídeo 2GB Tela 15.6” Windows 10 VivoBook X512FB-BR501T;6;5.0;1663.90
"Notebook Samsung Book Intel® Core™ i7, Windows 10, 8GB, 256 GB SSD, Intel® Iris® Xe, 15.6""";22;4.5;3949.00
Notebook Gamer Lenovo NVIDIA GeForce GTX 1650 Core i5-10300H 8GB 256GB SSD Tela Full HD 15.6” Linux Ideapad Gaming 3i 82CGS00100;2;5.0;1719.00
"Notebook Lenovo Ultrafino IdeaPad 3i i5-10210U 8GB 256 GB SSD Windows 10 15.6"" 82BS0005BR Prata";1;5.0;9199.00
"Notebook Samsung Dual Core 4GB 500GB Tela 15.6"" Windows 10 Book E20 NP550XCJ-KO1BR";357;4.5;4399.00
Notebook Compaq Presario 430 Intel Core i3-6157U 4GB 120GB SSD Tela LED HD 14.1” Windows 10;10;4.5;3899.00
